id,name_formal,state,gov_type,country_code,official_count,term_length,url,upcoming_election,ue_remarks,ue_url_1,special,runoff,lat,lon,next_election_display
5221,Ajax Town Council & Mayor,ON,LOCAL,CA,6,4 years,https://www.ajax.ca/en/inside-townhall/council-members.aspx,2022-10-31 05:00:00+00:00,,https://election.ajax.ca/,f,f,43.86636246730943,-79.03017505878515,"Oct 31, 2022"
5231,Richmond Hill Town Council & Mayor,ON,LOCAL,CA,8,4 years,https://www.richmondhill.ca/en/our-services/Mayor-and-Council.aspx,2022-10-31 05:00:00+00:00,,,f,f,43.892924481307055,-79.42916266623244,"Oct 31, 2022"
4431,Alabama Governor & Lieutenant Governor,AL,STATE,US,1,4 years,http://www.governor.alabama.gov/,2022-11-08 05:00:00+00:00,,,f,f,33.00715586487894,-86.77701645200166,"Nov 08, 2022"
8773,Alabama House of Representatives,AL,STATE,US,105,4 years,https://www.legislature.state.al.us/aliswww/ISD/Splash_House.aspx,2022-11-08 05:00:00+00:00,,,f,f,33.00715586487894,-86.77701645200166,"Nov 08, 2022"
7742,Alabama Public Service Commission,AL,STATE,US,3,4 years,http://psc.alabama.gov/,2022-11-08 05:00:00+00:00,2 seats (associates only),"https://ballotpedia.org/Alabama_Public_Service_Commission_election,_2022",f,f,33.00715586487894,-86.77701645200166,"Nov 08, 2022"
8256,Alabama Secretary of State,AL,STATE,US,1,4 years,https://www.sos.alabama.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Alabama_Secretary_of_State_election,_2022",f,f,33.00715586487894,-86.77701645200166,"Nov 08, 2022"
6955,Alabama State Auditor,AL,STATE,US,1,4 years,https://auditor.alabama.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Alabama_Auditor_election,_2022",f,f,33.00715586487894,-86.77701645200166,"Nov 08, 2022"
5355,Alabama State Senate,AL,STATE,US,35,4 years,http://www.legislature.state.al.us/aliswww/ISD/Splash_Senate.aspx,2022-11-08 05:00:00+00:00,,,f,f,33.00715586487894,-86.77701645200166,"Nov 08, 2022"
8377,Alaska Governor & Lieutenant Governor,AK,STATE,US,1,4 years,https://gov.alaska.gov/,2022-11-08 05:00:00+00:00,,,f,f,61.5951363218152,-148.52788278494452,"Nov 08, 2022"
4812,Alaska House of Representatives,AK,STATE,US,40,2 years,http://akleg.gov/house.php,2022-11-08 05:00:00+00:00,,,f,f,61.5951363218152,-148.52788278494452,"Nov 08, 2022"
4814,Alaska State Senate,AK,STATE,US,20,4 years,http://akleg.gov/senate.php,2022-11-08 05:00:00+00:00,"Districts A, C, E, G, I, K, M, O, Q, S",,f,f,61.5951363218152,-148.52788278494452,"Nov 08, 2022"
6573,Anaheim City Council,CA,LOCAL,US,7,4 years,http://www.anaheim.net/173/City-Council,2022-11-08 05:00:00+00:00,"Mayor and district 2,3, and 6",,f,f,33.83372776484997,-117.89754177859508,"Nov 08, 2022"
5960,Ann Arbor City Council,MI,LOCAL,US,11,4 years,https://www.a2gov.org/departments/city-council/Pages/Home.aspx,2022-11-08 05:00:00+00:00,Half,,f,f,42.274699410497554,-83.73323804661669,"Nov 08, 2022"
8518,Antioch City Council,CA,LOCAL,US,5,4 years,https://www.antiochca.gov/government/city-council/,2022-11-08 05:00:00+00:00,District 1 and 4,https://www.antiochca.gov/district-elections/,f,f,37.98292289198709,-121.79640175212376,"Nov 08, 2022"
7754,Arizona Corporation Commission,AZ,STATE,US,5,4 years,https://www.azcc.gov/,2022-11-08 05:00:00+00:00,Two of five seats,"https://ballotpedia.org/Arizona_Corporation_Commission_election,_2022",f,f,33.4112077966155,-111.81798939248934,"Nov 08, 2022"
8378,Arizona Governor,AZ,STATE,US,1,4 years,https://azgovernor.gov/,2022-11-08 05:00:00+00:00,,,f,f,33.4112077966155,-111.81798939248934,"Nov 08, 2022"
6258,Arizona House of Representatives,AZ,STATE,US,60,2 years,https://www.azhouse.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Arizona_House_of_Representatives_elections,_2020",f,f,33.4112077966155,-111.81798939248934,"Nov 08, 2022"
7758,Arizona Secretary of State,AZ,STATE,US,1,4 years,https://azsos.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Arizona_Secretary_of_State_election,_2022",f,f,33.4112077966155,-111.81798939248934,"Nov 08, 2022"
6273,Arizona Senate,AZ,STATE,US,30,2 years,https://www.azsenate.gov/,2022-11-08 05:00:00+00:00,,,f,f,33.4112077966155,-111.81798939248934,"Nov 08, 2022"
7106,Arizona State Treasurer,AZ,STATE,US,,4 years,https://www.aztreasury.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Arizona_Treasurer_election,_2022",f,f,33.4112077966155,-111.81798939248934,"Nov 08, 2022"
7759,Arizona Superintendent of Public Instruction,AZ,STATE,US,,4 years,https://www.azed.gov/adeinfo/about-state-superintendent,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Arizona_Superintendent_of_Public_Instruction_election,_2022",f,f,33.4112077966155,-111.81798939248934,"Nov 08, 2022"
6929,Arkansas Attorney General,AR,STATE,US,1,4 years,https://arkansasag.gov/,2022-11-08 05:00:00+00:00,,https://www.sos.arkansas.gov/elections,f,f,35.133034840004626,-92.65314849918356,"Nov 08, 2022"
8385,Arkansas Governor & Lieutenant Governor,AR,STATE,US,1,4 years,https://governor.arkansas.gov/,2022-11-08 05:00:00+00:00,,,f,f,35.133034840004626,-92.65314849918356,"Nov 08, 2022"
6394,Arkansas House of Representatives,AR,STATE,US,100,2 years,https://www.arkansashouse.org/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Arkansas_House_of_Representatives_elections,_2022",f,f,35.133034840004626,-92.65314849918356,"Nov 08, 2022"
7766,Arkansas Secretary of State,AR,STATE,US,1,4 years,https://www.sos.arkansas.gov/,2022-11-08 05:00:00+00:00,,https://www.sos.arkansas.gov/elections,f,f,35.133034840004626,-92.65314849918356,"Nov 08, 2022"
6390,Arkansas Senate,AR,STATE,US,35,4 years,https://senate.arkansas.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Arkansas_State_Senate_elections,_2022",f,f,35.133034840004626,-92.65314849918356,"Nov 08, 2022"
7107,Arkansas State Auditor,AR,STATE,US,1,4 years,https://auditor.ar.gov/,2022-11-08 05:00:00+00:00,,https://www.sos.arkansas.gov/elections,f,f,35.133034840004626,-92.65314849918356,"Nov 08, 2022"
6930,Arkansas Treasurer,AR,STATE,US,1,4 years,https://www.artreasury.gov/,2022-11-08 05:00:00+00:00,,https://www.sos.arkansas.gov/elections,f,f,35.133034840004626,-92.65314849918356,"Nov 08, 2022"
6405,Arlington County Board,VA,LOCAL,US,5,4 years,https://countyboard.arlingtonva.us/,2022-11-08 05:00:00+00:00,,,f,f,38.878585111108386,-77.10101749332398,"Nov 08, 2022"
7734,Attorney General of Alabama,AL,STATE,US,1,4 years,https://www.alabamaag.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Alabama_Attorney_General_election,_2022",f,f,33.00715586487894,-86.77701645200166,"Nov 08, 2022"
6894,Attorney General of Arizona,AZ,STATE,US,1,4 years,https://www.azag.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Arizona_Attorney_General_election,_2022",f,f,33.4112077966155,-111.81798939248934,"Nov 08, 2022"
6995,Attorney General of Connecticut,CT,STATE,US,1,4 years,https://portal.ct.gov/AG,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Connecticut_Attorney_General_election,_2022",f,f,41.502355107116,-72.87082092850571,"Nov 08, 2022"
6988,Attorney General of Delaware,DE,STATE,US,1,4,https://attorneygeneral.delaware.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Delaware_Attorney_General_election,_2022",f,f,39.35061675253574,-75.53861813862346,"Nov 08, 2022"
7040,Attorney General of Florida,FL,STATE,US,1,4,http://www.myfloridalegal.com/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Florida_Attorney_General_election,_2022",f,f,27.822319567897868,-81.6626342845549,"Nov 08, 2022"
7518,Attorney General of Georgia,GA,STATE,US,1,4 years,https://law.georgia.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Georgia_Attorney_General_election,_2022",f,f,33.3680016714074,-83.88313260375072,"Nov 08, 2022"
8210,Attorney General of Guam,GU,STATE,US,1,4 years,http://oagguam.org/,2022-11-08 05:00:00+00:00,,,f,f,13.44275954785126,144.76945169733125,"Nov 08, 2022"
7829,Attorney General of Idaho,ID,STATE,US,1,4,https://www.ag.idaho.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Idaho_Attorney_General_election,_2022",f,f,44.1917575944523,-115.13810494564291,"Nov 08, 2022"
7838,Attorney General of Illinois,IL,STATE,US,1,4,https://www.illinoisattorneygeneral.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Illinois_Attorney_General_election,_2022",f,f,41.27231761699882,-88.39564523221125,"Nov 08, 2022"
7869,Attorney General of Iowa,IA,STATE,US,1,4,https://www.iowaattorneygeneral.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Iowa_Attorney_General_election,_2022",f,f,41.94290261136004,-93.0442766513519,"Nov 08, 2022"
7878,Attorney General of Kansas,KS,STATE,US,1,4 years,https://ag.ks.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Kansas_Attorney_General_election,_2022",f,f,38.462060403763836,-96.5047070901783,"Nov 08, 2022"
7188,Attorney General of Maryland,MD,STATE,US,1,4,https://www.marylandattorneygeneral.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Maryland_Attorney_General_election,_2022",f,f,39.098545466444556,-76.7919318826322,"Nov 08, 2022"
7208,Attorney General of Massachusetts,MA,STATE,US,1,4 years,https://www.mass.gov/orgs/office-of-attorney-general-maura-healey,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Massachusetts_Attorney_General_election,_2022",f,f,42.2707016687183,-71.36659953132225,"Nov 08, 2022"
7235,Attorney General of Michigan,MI,STATE,US,1,4 years,https://www.michigan.gov/ag/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Michigan_Attorney_General_election,_2022",f,f,42.90919135765188,-84.21488179745796,"Nov 08, 2022"
7911,Attorney General of Nebraska,NE,STATE,US,1,4 years,https://ago.nebraska.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Nebraska_state_executive_official_elections,_2022",f,f,41.2004834022387,-97.39611176996608,"Nov 08, 2022"
7920,Attorney General of Nevada,NV,STATE,US,1,4 years,https://ag.nv.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Nevada_Attorney_General_election,_2022",f,f,37.07203205998718,-116.12462648368005,"Nov 08, 2022"
7981,Attorney General of New York,NY,STATE,US,1,4 years,https://ag.ny.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/New_York_Attorney_General_election,_2022",f,f,41.520071813582426,-74.6428268768959,"Nov 08, 2022"
7990,Attorney General of North Dakota,ND,STATE,US,1,4 years,https://attorneygeneral.nd.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/North_Dakota_Attorney_General_election,_2022",f,f,47.352685685594544,-99.36022661804799,"Nov 08, 2022"
8000,Attorney General of Ohio,OH,STATE,US,1,4 years,https://www.ohioattorneygeneral.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Ohio_Attorney_General_election,_2022",f,f,40.45000799139277,-82.77031481149976,"Nov 08, 2022"
8260,Attorney General of Oklahoma,OK,STATE,US,1,4 years,https://www.oag.ok.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Oklahoma_Attorney_General_election,_2022",f,f,35.59897522795839,-96.84438707180561,"Nov 08, 2022"
8286,Attorney General of Rhode Island,RI,STATE,US,1,4 years,http://www.riag.ri.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Rhode_Island_Attorney_General_election,_2022",f,f,41.7443210033136,-71.45435357669912,"Nov 08, 2022"
8033,Attorney General of South Carolina,SC,STATE,US,1,4 years,http://www.scag.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/South_Carolina_Attorney_General_election,_2022",f,f,34.01259413117254,-81.01979718612975,"Nov 08, 2022"
8043,Attorney General of South Dakota,SD,STATE,US,1,4 years,https://atg.sd.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/South_Dakota_Attorney_General_election,_2022",f,f,44.07524305103285,-99.13886134486252,"Nov 08, 2022"
8061,Attorney General of Texas,TX,STATE,US,1,4 years,https://www.texasattorneygeneral.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Texas_Attorney_General_election,_2022",f,f,30.93887363731132,-97.42716050426753,"Nov 08, 2022"
6973,Attorney General of the State of California,CA,STATE,US,1,4 years,https://oag.ca.gov/home,2022-11-08 05:00:00+00:00,,,f,f,35.50737287374408,-119.30043098845317,"Nov 08, 2022"
8071,Attorney General of Vermont,VT,STATE,US,1,2 years,https://ago.vermont.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Vermont_Attorney_General_election,_2022",f,f,44.048746227280354,-72.80961917426774,"Nov 08, 2022"
8111,Attorney General of Wisconsin,WI,STATE,US,1,4 years,https://www.doj.state.wi.us/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Wisconsin_Attorney_General_election,_2022",f,f,43.737902603063965,-89.0538189103974,"Nov 08, 2022"
8402,Augusta Commission & Mayor,GA,LOCAL,US,10,4 years,https://www.augustaga.gov/652/Augusta-Commission,2022-11-08 05:00:00+00:00,"Mayor and districts 2, 4, 6, 8, and 10",,f,f,33.40589466064677,-82.05546598991702,"Nov 08, 2022"
5348,Augusta Mayor,GA,LOCAL,US,1,4 years,https://www.augustaga.gov/,2022-11-08 05:00:00+00:00,"Mayor and districts 2, 4, 6, 8, and 10",,f,f,33.40589466064677,-82.05546598991702,"Nov 08, 2022"
8756,Austin City Council,TX,LOCAL,US,11,4 years,https://www.austintexas.gov/government,2022-11-08 05:00:00+00:00,"Mayor and districts 1, 3, 5, 8, 9",,f,f,30.296500374735896,-97.7471465117689,"Nov 08, 2022"
8442,Bakersfield City Council & Mayor,CA,LOCAL,US,7,4 years,https://www.bakersfieldcity.us/gov/elected_officials/city_council.htm,2022-11-08 05:00:00+00:00,"Districts 1, 3, 4",,f,f,35.34229184579696,-119.04479363212687,"Nov 08, 2022"
5908,Bend City Council,OR,LOCAL,US,7,4 years,https://www.bendoregon.gov/government/city-council,2022-11-08 05:00:00+00:00,"Mayor, positions 5-6",,f,f,44.0562205741533,-121.30871846581343,"Nov 08, 2022"
8528,Berkeley City Council & Mayor,CA,LOCAL,US,8,4 years,https://www.cityofberkeley.info/ContentDisplay.aspx?id=9818,2022-11-08 05:00:00+00:00,"Districts 1, 4, 7, 8",,f,f,37.8706502911583,-122.27230884552117,"Nov 08, 2022"
8372,Burbank City Council,CA,LOCAL,US,5,4 years,https://www.burbankca.gov/elected-officials,2022-11-08 05:00:00+00:00,,,f,f,34.18796535880142,-118.32341480691709,"Nov 08, 2022"
7769,California Commissioner of Insurance,CA,STATE,US,1,4 years,http://www.insurance.ca.gov/,2022-11-08 05:00:00+00:00,,,f,f,35.50737287374408,-119.30043098845317,"Nov 08, 2022"
5594,California Governor & Lieutenant Governor,CA,STATE,US,1,4 years,https://www.gov.ca.gov/,2022-11-08 05:00:00+00:00,,,f,f,35.50737287374408,-119.30043098845317,"Nov 08, 2022"
7768,California Secretary of State,CA,STATE,US,1,4 years,https://www.sos.ca.gov/,2022-11-08 05:00:00+00:00,,,f,f,35.50737287374408,-119.30043098845317,"Nov 08, 2022"
6166,California Senate,CA,STATE,US,40,4 years,https://www.senate.ca.gov/,2022-11-08 05:00:00+00:00,Even numbered seats,"https://ballotpedia.org/California_State_Senate_elections,_2022",f,f,35.50737287374408,-119.30043098845317,"Nov 08, 2022"
8390,California State Assembly,CA,STATE,US,80,2 years,https://www.assembly.ca.gov/assemblymembers,2022-11-08 05:00:00+00:00,All,,f,f,35.50737287374408,-119.30043098845317,"Nov 08, 2022"
6978,California State Controller,CA,STATE,US,1,4 years,http://www.sco.ca.gov/,2022-11-08 05:00:00+00:00,,,f,f,35.50737287374408,-119.30043098845317,"Nov 08, 2022"
7256,California State Treasurer,CA,STATE,US,1,4 years,http://www.treasurer.ca.gov/,2022-11-08 05:00:00+00:00,,,f,f,35.50737287374408,-119.30043098845317,"Nov 08, 2022"
7044,California Superintendent of Public Instruction,CA,STATE,US,1,4 years,https://www.cde.ca.gov/eo/,2022-11-08 05:00:00+00:00,,,f,f,35.50737287374408,-119.30043098845317,"Nov 08, 2022"
8565,Cape Coral City Council,FL,LOCAL,US,8,4 years,https://www.capecoral.gov/government/city_government/city_council/index.php#.WULh1Te1tpi,2022-11-08 05:00:00+00:00,,,f,f,26.64441726162717,-81.99571783347689,"Nov 08, 2022"
8452,Carlsbad City Council,CA,LOCAL,US,5,4 years,https://www.carlsbadca.gov/city-hall/city-council,2022-11-08 05:00:00+00:00,,http://www.carlsbadca.gov/cityhall/clerk/voter.asp,f,f,33.12431704783885,-117.28717647250076,"Nov 08, 2022"
6732,Chandler City Council,AZ,LOCAL,US,7,4 years,https://www.chandleraz.gov/government/mayor-and-council?pageid=245,2022-11-08 05:00:00+00:00,4 council seats (includes mayoral seat),https://recorder.maricopa.gov/electionresults/citiestowns.aspx,f,f,33.28267519144484,-111.8516918483827,"Nov 08, 2022"
8613,Chesapeake City Council,VA,LOCAL,US,9,4 years,https://www.cityofchesapeake.net/government/council.htm,2022-11-08 05:00:00+00:00,5 seats,,f,f,36.677744495708,-76.3024182871377,"Nov 08, 2022"
8424,Chula Vista City Council,CA,LOCAL,US,5,4 years,https://www.chulavistaca.gov/departments/mayor-council,2022-11-08 05:00:00+00:00,"Mayor, districts 1 and 2",https://www.chulavistaca.gov/departments/city-clerk/elections,f,f,32.626633735837274,-117.02530545082641,"Nov 08, 2022"
8434,City of Coral Springs Commission,FL,LOCAL,US,5,"Mayor: 2 years,  Commissioners: 4 years",https://www.coralsprings.org/Government/City-Commission,2022-11-08 05:00:00+00:00,"Mayor, at-large seats 2 and 4",,f,f,26.270175600030534,-80.2592232702004,"Nov 08, 2022"
6247,Clarksville City Council,TN,LOCAL,US,12,4 years,https://www.cityofclarksville.com/522/City-Council,2022-11-08 05:00:00+00:00,"Mayor and 1, 2, 5, 6, 7, 10\n",https://mcgtn.org/election,f,f,36.570895838216764,-87.35483919900592,"Nov 08, 2022"
8441,Cole County Commission,MO,LOCAL,US,3,4 years,https://colecounty.org/324/County-Commission,2022-11-08 05:00:00+00:00,,,f,f,38.521610124679036,-92.29100562115902,"Nov 08, 2022"
6192,College Station City Council,TX,LOCAL,US,7,4 years,https://www.cstx.gov/departments___city_hall/council,2022-11-08 05:00:00+00:00,"Three at-large seats (Place 1, Place 2, and Mayor).",https://www.cstx.gov/departments___city_hall/elections,f,f,30.58527489059805,-96.29594551013676,"Nov 08, 2022"
7267,Colorado Attorney General,CO,STATE,US,1,4 years,https://coag.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Colorado_Attorney_General_election,_2022",f,f,39.51319188657724,-105.2077729926227,"Nov 08, 2022"
8381,Colorado Governor & Lieutenant Governor,CO,STATE,US,1,4 years,https://www.colorado.gov/governor/,2022-11-08 05:00:00+00:00,,,f,f,39.51319188657724,-105.2077729926227,"Nov 08, 2022"
6801,Colorado House of Representatives,CO,STATE,US,65,2 years,https://leg.colorado.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Colorado_House_of_Representatives_elections,_2020",f,f,39.51319188657724,-105.2077729926227,"Nov 08, 2022"
7777,Colorado Secretary of State,CO,STATE,US,1,4 years,https://www.sos.state.co.us/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Colorado_Secretary_of_State_election,_2022",f,f,39.51319188657724,-105.2077729926227,"Nov 08, 2022"
6803,Colorado State Senate,CO,STATE,US,35,4 years,https://leg.colorado.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Colorado_State_Senate_elections,_2022",f,f,39.51319188657724,-105.2077729926227,"Nov 08, 2022"
7268,Colorado State Treasurer,CO,STATE,US,1,4 years,https://treasury.colorado.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Colorado_Treasurer_election,_2022",f,f,39.51319188657724,-105.2077729926227,"Nov 08, 2022"
8366,Commonwealth of the Northern Mariana Islands Attorney General,MP,STATE,US,1,4 years,http://cnmioag.org,2022-11-08 05:00:00+00:00,,https://en.wikipedia.org/wiki/2022_United_States_attorney_general_elections,f,f,16.817085397243968,145.5957224361839,"Nov 08, 2022"
4986,Concord City Council,CA,LOCAL,US,5,4 years,http://www.cityofconcord.org/237/Mayor-City-Council,2022-11-08 05:00:00+00:00,,http://www.cityofconcord.org/page.asp?pid=1012,f,f,37.96969494663151,-122.00959901860332,"Nov 08, 2022"
7077,Connecticut Comptroller,CT,STATE,US,1,4 years,https://www.osc.ct.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Connecticut_Comptroller_election,_2022",f,f,41.502355107116,-72.87082092850571,"Nov 08, 2022"
8376,Connecticut Governor & Lieutenant Governor,CT,STATE,US,1,4 years,https://portal.ct.gov/governor,2022-11-08 05:00:00+00:00,,,f,f,41.502355107116,-72.87082092850571,"Nov 08, 2022"
6373,Connecticut House of Representatives,CT,STATE,US,151,2 years,https://www.cga.ct.gov/asp/menu/house.asp,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Connecticut_House_of_Representatives_elections,_2022",f,f,41.502355107116,-72.87082092850571,"Nov 08, 2022"
7799,Connecticut Secretary of the State,CT,STATE,US,1,4 years,https://portal.ct.gov/sots,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Connecticut_Secretary_of_State_election,_2022",f,f,41.502355107116,-72.87082092850571,"Nov 08, 2022"
6778,Connecticut Senate,CT,STATE,US,36,2 years,https://www.cga.ct.gov/asp/menu/Senate.asp,2022-11-08 05:00:00+00:00,,,f,f,41.502355107116,-72.87082092850571,"Nov 08, 2022"
3056,Cook County Board of Commissioners & President,IL,LOCAL,US,17,4 years,https://www.cookcountyil.gov/board-of-commissioners,2022-11-08 05:00:00+00:00,,,f,f,41.85745253585944,-87.76447003194308,"Nov 08, 2022"
6214,Corona City Council,CA,LOCAL,US,5,4 years,https://www.coronaca.gov/about-us/city-council,2022-11-08 05:00:00+00:00,"Districts 1, 4, 5",,f,f,33.86484067094828,-117.56896005196286,"Nov 08, 2022"
6429,Corpus Christi City Council,TX,LOCAL,US,9,2 years,https://www.cctexas.com/departments/mayor-and-city-council,2022-11-08 05:00:00+00:00,,,f,f,27.730889895296087,-97.38482852142488,"Nov 08, 2022"
8520,Costa Mesa City Council,CA,LOCAL,US,7,4 years,https://www.costamesaca.gov/city-hall/city-council,2022-11-08 05:00:00+00:00,,https://www.costamesaca.gov/city-hall/city-departments/city-clerk/city-elections/city-elections-2020,f,f,33.66222963517843,-117.91466307722602,"Nov 08, 2022"
8845,Daly City Council,CA,LOCAL,US,5,4 years,https://www.dalycity.org/409/City-Council,2022-11-08 05:00:00+00:00,3 seats,,f,f,37.6862644693961,-122.4684605662521,"Nov 08, 2022"
6404,Davie Town Council,FL,LOCAL,US,5,4 years,https://www.davie-fl.gov/151/Mayor-Town-Council,2022-11-08 05:00:00+00:00,All,,f,f,26.078773356505508,-80.2803865746192,"Nov 08, 2022"
6431,Delaware House of Representatives,DE,STATE,US,41,2 years,https://legis.delaware.gov/Chambers/House/AssemblyMembers,2022-11-08 05:00:00+00:00,,,f,f,39.35061675253574,-75.53861813862346,"Nov 08, 2022"
6992,Delaware State Auditor,DE,STATE,US,1,4,https://auditor.delaware.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Delaware_Auditor_election,_2022",f,f,39.35061675253574,-75.53861813862346,"Nov 08, 2022"
6785,Delaware State Senate,DE,STATE,US,21,4 years,https://legis.delaware.gov/,2022-11-08 05:00:00+00:00,All seats up for election,,f,f,39.35061675253574,-75.53861813862346,"Nov 08, 2022"
7304,Delaware State Treasurer,DE,STATE,US,1,4,https://treasurer.delaware.gov/,2022-11-08 05:00:00+00:00,,"https://ballotpedia.org/Delaware_Treasurer_election,_2022",f,f,39.35061675253574,-75.53861813862346,"Nov 08, 2022"
6100,Downey City Council,CA,LOCAL,US,5,4 years,https://www.downeyca.org/our-city/mayor-city-council/,2022-11-08 05:00:00+00:00,Even districts,,f,f,33.937101068111325,-118.13229547747979,"Nov 08, 2022"
5322,El Cajon City Council,CA,LOCAL,US,5,4 years,https://www.cityofelcajon.us/your-government/elected-officials/city-council,2022-11-08 05:00:00+00:00,Mayor & District 1,,f,f,32.799275935205074,-116.95415515243731,"Nov 08, 2022"
